Emotion,NT_ID,Object,Scene,Set_ID,T_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,pair_ID,pp_ID,repetition,think_condition,trial_count
neu,28,belt02a.jpg,neutral_293.jpg,2,9999,red,NT_neu,TNT_scanner,no,28,9999,3,3,68,one,NT,32
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,68,one,None,33
neu,35,chessboard.jpg,neutral_227.jpg,3,9999,green,T_neu,TNT_scanner,no,35,9999,10,10,68,one,T,34
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,68,one,None,35
neg,9999,ruler05.jpg,1201_animal_fearanddisgust.jpg,3,50,green,T_neg,TNT_scanner,no,9999,50,73,37,68,one,T,36
neu,26,hat03b.jpg,neutral_017.jpg,3,9999,green,T_neu,TNT_scanner,no,26,9999,1,1,68,one,T,37
neg,9999,mirror.jpg,2981_animal_disgust.jpg,3,55,green,T_neg,TNT_scanner,no,9999,55,78,42,68,one,T,38
neu,9999,watch02a.jpg,neutral_380.jpg,3,32,red,NT_neu,TNT_scanner,no,56,9999,55,31,68,one,NT,39
neu,27,tuque03b.jpg,neutral_098.jpg,3,9999,red,NT_neu,TNT_scanner,no,27,9999,2,2,68,one,NT,40
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,68,one,None,41
neg,9999,plasticflower01a.jpg,6550_people_fear.jpg,3,58,red,NT_neg,TNT_scanner,no,9999,58,81,45,68,one,NT,42
neg,9999,spoon01.jpg,Animals_008_v_disgust.jpg,3,60,red,NT_neg,TNT_scanner,no,9999,60,83,47,68,one,NT,43
neu,9999,hinge.jpg,neutral_582.jpg,3,30,red,NT_neu,TNT_scanner,no,54,9999,53,29,68,one,NT,44
neu,32,ring01.jpg,neutral_226.jpg,3,9999,green,T_neu,TNT_scanner,no,32,9999,7,7,68,one,T,45
neg,50,thimble.jpg,Objects_021_vdisgust.jpg,3,9999,red,NT_neg,TNT_scanner,no,9999,26,25,13,68,one,NT,46
neg,60,towel02a.jpg,Objects_006_hdisgust.jpg,3,9999,green,T_neg,TNT_scanner,no,9999,36,35,23,68,one,T,47
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,68,one,None,48
neu,9999,shirt01.jpg,neutral_007.jpg,4,28,green,T_neu,TNT_scanner,no,52,9999,51,27,68,one,T,49
neg,9999,dice05a.jpg,9050_people_accideNT.jpg,4,56,green,T_neg,TNT_scanner,no,9999,56,79,43,68,one,T,50
neg,59,measuringtape01.jpg,Faces_363_vsad.jpg,4,9999,red,NT_neg,TNT_scanner,no,9999,35,34,22,68,one,NT,51
neg,9999,boot02b.jpg,Objects_328_hdisgust.jpg,4,51,red,NT_neg,TNT_scanner,no,9999,51,74,38,68,one,NT,52
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,68,one,None,53
neu,30,radio02.jpg,neutral_331.jpg,4,9999,green,T_neu,TNT_scanner,no,30,9999,5,5,68,one,T,54
neu,34,lock03a.jpg,neutral_659.jpg,4,9999,red,NT_neu,TNT_scanner,no,34,9999,9,9,68,one,NT,55
neu,9999,cup01.jpg,neutral_195.jpg,4,35,green,T_neu,TNT_scanner,no,59,9999,58,34,68,one,T,56
neg,9999,pillow02b.jpg,2700._people_crying_sad.jpg,4,57,green,T_neg,TNT_scanner,no,9999,57,80,44,68,one,T,57
neg,57,pictureframe04.jpg,9433_people-disgust.jpg,4,9999,red,NT_neg,TNT_scanner,no,9999,33,32,20,68,one,NT,58
neu,29,toothbrush03b.jpg,neutral_390.jpg,4,9999,red,NT_neu,TNT_scanner,no,29,9999,4,4,68,one,NT,59
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,68,one,None,60
neu,9999,lifejacket.jpg,neutral_247.jpg,4,36,red,NT_neu,TNT_scanner,no,60,9999,59,35,68,one,NT,61
neg,9999,stapler03a.jpg,People_001_hsadterror.jpg,4,54,green,T_neg,TNT_scanner,no,9999,54,77,41,68,one,T,62
neu,74,pingpongracket.jpg,neutral_053.jpg,,9999,green,TneuFILLER,TNT_scanner,yes,9999,74,97,filler,68,one,T,63
neg,75,microscope.jpg,Objects_283_hsad.jpg,,9999,red,TnegFILLER,TNT_scanner,yes,74,999,98,filler,68,one,NT,64
neg,9999,brick.jpg,Objects_106_vdisgust.jpg,,75,red,NTnegFILLER,TNT_scanner,yes,75,999,100,filler,68,two,NT,65
neu,9999,fryingpan02a.jpg,neutral_066.jpg,,74,green,NTneuFILLER,TNT_scanner,yes,9999,75,99,filler,68,two,T,66
neg,59,measuringtape01.jpg,Faces_363_vsad.jpg,1,9999,red,NT_neg,TNT_scanner,no,9999,35,34,22,68,two,NT,67
neu,9999,shirt01.jpg,neutral_007.jpg,1,28,red,NT_neu,TNT_scanner,no,52,9999,51,27,68,two,NT,68
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,68,two,None,69
neu,9999,lifejacket.jpg,neutral_247.jpg,1,36,green,T_neu,TNT_scanner,no,60,9999,59,35,68,two,T,70
neu,27,tuque03b.jpg,neutral_098.jpg,1,9999,green,T_neu,TNT_scanner,no,27,9999,2,2,68,two,T,71
neu,31,negativefilm.jpg,neutral_192.jpg,1,9999,red,NT_neu,TNT_scanner,no,31,9999,6,6,68,two,NT,72
neg,9999,mirror.jpg,2981_animal_disgust.jpg,1,55,green,T_neg,TNT_scanner,no,9999,55,78,42,68,two,T,73
neg,53,calculator01.jpg,6520_people_fear.jpg,1,9999,green,T_neg,TNT_scanner,no,9999,29,28,16,68,two,T,74
neg,57,pictureframe04.jpg,9433_people-disgust.jpg,1,9999,green,T_neg,TNT_scanner,no,9999,33,32,20,68,two,T,75
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,68,two,None,76
neg,60,towel02a.jpg,Objects_006_hdisgust.jpg,1,9999,red,NT_neg,TNT_scanner,no,9999,36,35,23,68,two,NT,77
neu,9999,pencilsharpener02a.jpg,neutral_022.jpg,1,34,red,NT_neu,TNT_scanner,no,58,9999,57,33,68,two,NT,78
neg,9999,pillow02b.jpg,2700._people_crying_sad.jpg,1,57,red,NT_neg,TNT_scanner,no,9999,57,80,44,68,two,NT,79
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,68,two,None,80
neu,28,belt02a.jpg,neutral_293.jpg,1,9999,green,T_neu,TNT_scanner,no,28,9999,3,3,68,two,T,81
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,68,two,None,82
neu,9999,watch02a.jpg,neutral_380.jpg,2,32,red,NT_neu,TNT_scanner,no,56,9999,55,31,68,two,NT,83
neg,51,binoculars01b.jpg,Animals_221_hdisgustfear.jpg,2,9999,red,NT_neg,TNT_scanner,no,9999,27,26,14,68,two,NT,84
neg,56,makeupbrush04.jpg,People_127_fearh.jpg,2,9999,green,T_neg,TNT_scanner,no,9999,32,31,19,68,two,T,85
neg,9999,glassmop.jpg,9440_object_disgustandfear.jpg,2,53,green,T_neg,TNT_scanner,no,9999,53,76,40,68,two,T,86
neu,33,fan.jpg,neutral_706.jpg,2,9999,red,NT_neu,TNT_scanner,no,33,9999,8,8,68,two,NT,87
neu,32,ring01.jpg,neutral_226.jpg,2,9999,green,T_neu,TNT_scanner,no,32,9999,7,7,68,two,T,88
neu,37,bottlecap.jpg,neutral_134.jpg,2,9999,green,T_neu,TNT_scanner,no,37,9999,12,12,68,two,T,89
neg,50,thimble.jpg,Objects_021_vdisgust.jpg,2,9999,green,T_neg,TNT_scanner,no,9999,26,25,13,68,two,T,90
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,68,two,None,91
neu,9999,binder03b.jpg,neutral_512.jpg,2,33,red,NT_neu,TNT_scanner,no,57,9999,56,32,68,two,NT,92
neg,9999,measuringcup01.jpg,2811_object_fear.jpg,2,61,red,NT_neg,TNT_scanner,no,9999,61,84,48,68,two,NT,93
neg,9999,dice05a.jpg,9050_people_accideNT.jpg,2,56,red,NT_neg,TNT_scanner,no,9999,56,79,43,68,two,NT,94
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,68,two,None,95
neu,29,toothbrush03b.jpg,neutral_390.jpg,2,9999,green,T_neu,TNT_scanner,no,29,9999,4,4,68,two,T,96
neu,9999,battery02b.jpg,neutral_509.jpg,3,31,red,NT_neu,TNT_scanner,no,55,9999,54,30,68,two,NT,97
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,68,two,None,98
neg,54,box01.jpg,2900.1_people_crying.jpg,3,9999,green,T_neg,TNT_scanner,no,9999,30,29,17,68,two,T,99
neg,9999,stapler03a.jpg,People_001_hsadterror.jpg,3,54,green,T_neg,TNT_scanner,no,9999,54,77,41,68,two,T,100
neu,9999,bow04.jpg,neutral_128.jpg,3,27,red,NT_neu,TNT_scanner,no,51,9999,50,26,68,two,NT,101
neu,9999,birdie.jpg,neutral_614.jpg,3,37,green,T_neu,TNT_scanner,no,61,9999,60,36,68,two,T,102
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,68,two,None,103
neg,58,globe.jpg,People_201_vsadterror.jpg,3,9999,red,NT_neg,TNT_scanner,no,9999,34,33,21,68,two,NT,104
neg,55,safetypin.jpg,8480_people_fear.jpg,3,9999,green,T_neg,TNT_scanner,no,9999,31,30,18,68,two,T,105
neg,9999,boot02b.jpg,Objects_328_hdisgust.jpg,3,51,red,NT_neg,TNT_scanner,no,9999,51,74,38,68,two,NT,106
neu,9999,hinge.jpg,neutral_582.jpg,3,30,red,NT_neu,TNT_scanner,no,54,9999,53,29,68,two,NT,107
neu,26,hat03b.jpg,neutral_017.jpg,3,9999,green,T_neu,TNT_scanner,no,26,9999,1,1,68,two,T,108
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,68,two,None,109
neu,9999,cup01.jpg,neutral_195.jpg,3,35,green,T_neu,TNT_scanner,no,59,9999,58,34,68,two,T,110
neg,52,key01.jpg,1033_animal_fearanddisgust.jpg,3,9999,red,NT_neg,TNT_scanner,no,9999,28,27,15,68,two,NT,111
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,68,two,None,112
neu,30,radio02.jpg,neutral_331.jpg,4,9999,green,T_neu,TNT_scanner,no,30,9999,5,5,68,two,T,113
neu,34,lock03a.jpg,neutral_659.jpg,4,9999,green,T_neu,TNT_scanner,no,34,9999,9,9,68,two,T,114
neu,9999,pylon.jpg,neutral_065.jpg,4,26,red,NT_neu,TNT_scanner,no,50,9999,49,25,68,two,NT,115
neg,61,wallet04.jpg,People_140_hsad.jpg,4,9999,green,T_neg,TNT_scanner,no,9999,37,36,24,68,two,T,116
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,68,two,None,117
neg,9999,ruler05.jpg,1201_animal_fearanddisgust.jpg,4,50,green,T_neg,TNT_scanner,no,9999,50,73,37,68,two,T,118
neg,9999,spoon01.jpg,Animals_008_v_disgust.jpg,4,60,red,NT_neg,TNT_scanner,no,9999,60,83,47,68,two,NT,119
neu,36,chair.jpg,neutral_144.jpg,4,9999,green,T_neu,TNT_scanner,no,36,9999,11,11,68,two,T,120
neu,35,chessboard.jpg,neutral_227.jpg,4,9999,red,NT_neu,TNT_scanner,no,35,9999,10,10,68,two,NT,121
neu,9999,stackingrings01a.jpg,neutral_246.jpg,4,29,red,NT_neu,TNT_scanner,no,53,9999,52,28,68,two,NT,122
neg,9999,book01b.jpg,9412_people_sad.jpg,4,52,red,NT_neg,TNT_scanner,no,9999,52,75,39,68,two,NT,123
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,68,two,None,124
neg,9999,hanger02a.jpg,People_077_vfear.jpg,4,59,red,NT_neg,TNT_scanner,no,9999,59,82,46,68,two,NT,125
neg,9999,plasticflower01a.jpg,6550_people_fear.jpg,4,58,green,T_neg,TNT_scanner,no,9999,58,81,45,68,two,T,126
neg,75,microscope.jpg,Objects_283_hsad.jpg,,9999,green,TnegFILLER,TNT_scanner,yes,74,999,98,filler,68,two,T,127
neu,74,pingpongracket.jpg,neutral_053.jpg,,9999,red,TneuFILLER,TNT_scanner,yes,9999,74,97,filler,68,two,NT,128
